epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8714,2.01399,3.59483,1.15115,0.00295,0.55556,0.13421,0.07522,2.18536,3.79573,1.31289,0.0982,0.0002,0.0002
2,23.8807,1.94382,2.75723,1.09721,0.00251,0.47222,0.07696,0.04289,2.28584,3.92361,1.58576,0.0955,0.000499969,0.000499969
3,35.6717,1.86232,2.0387,1.04496,0.04229,0.40132,0.10391,0.05929,2.59052,3.71321,1.4852,0.0927998,0.000799805,0.000799805
4,47.5575,1.7583,1.85994,1.03107,0.01295,0.08333,0.02737,0.01082,2.99281,3.69299,1.90438,0.0900994,0.0010994,0.0010994
5,59.3554,1.82901,1.72244,1.05666,0.03807,0.36586,0.05209,0.01834,2.84371,3.61643,1.77526,0.0873986,0.00139863,0.00139863
6,71.2055,1.84245,1.67521,1.08079,0.08839,0.33041,0.07975,0.03273,2.76844,3.5738,1.79586,0.0846974,0.00169741,0.00169741
7,82.97,1.7774,1.56293,1.03832,0.02938,0.28545,0.02195,0.0047,3.92732,3.7094,2.08835,0.0819956,0.00199561,0.00199561
8,95.683,1.89902,1.54598,1.02231,0.00096,0.27778,0.01482,0.00583,3.50151,3.59346,1.83338,0.0792931,0.00229312,0.00229312
9,107.524,1.77471,1.45916,1.04553,0.00223,0.38889,0.00253,0.00074,3.73999,3.66502,2.61757,0.0765899,0.00258985,0.00258985
10,119.522,1.70427,1.40458,1.04054,0.00276,0.36111,0.00426,0.00132,4.35849,5.24935,6.37983,0.0738857,0.00288568,0.00288568
11,131.315,1.72926,1.40728,1.02484,0.00622,0.08333,0.00296,0.00115,4.34111,7.93258,6.47084,0.0711805,0.0031805,0.0031805
12,143.468,1.75719,1.35075,1.01609,0.0035,0.11111,0.00192,0.00105,4.53231,9.69334,6.54129,0.0684742,0.0034742,0.0034742
13,155.531,1.79069,1.40725,1.02985,0.33654,0.02778,0.0011,0.00014,4.02984,26.1445,4.63212,0.0657667,0.00376668,0.00376668
14,167.632,1.76303,1.39154,1.00851,0.00069,0.16667,0.00196,0.00027,4.25148,301.723,6.28929,0.0630578,0.00405783,0.00405783
15,179.705,1.83712,1.40947,0.99675,0.00031,0.05556,0.00021,2e-05,3.47327,842.358,20.3051,0.0603475,0.00434755,0.00434755
16,191.544,1.79404,1.42832,1.03657,0,0,0,0,3.52162,977.35,22.7077,0.0576357,0.00463572,0.00463572
17,203.497,1.81885,1.39493,1.05362,0,0,0,0,3.46619,957.429,16.0799,0.0549222,0.00492224,0.00492224
18,215.457,1.80367,1.34127,1.01813,0,0,0,0,3.57031,886.881,9.21949,0.052207,0.00520702,0.00520702
19,227.347,1.75309,1.33161,1.04311,0,0,0,0,3.43912,686.579,6.75292,0.0494899,0.00548993,0.00548993
20,239.131,1.70325,1.24668,1.01645,0,0,0,0,4.04895,983.7,7.38057,0.0467709,0.00577089,0.00577089
21,251.04,1.78535,1.27788,1.01115,0,0,0,0,4.15201,1405.15,11.068,0.0440498,0.00604979,0.00604979
22,263.378,1.76435,1.27861,0.98507,0,0,0,0,4.70827,2305.14,21.3155,0.0413265,0.00632653,0.00632653
23,275.786,1.7,1.30762,1.0096,0,0,0,0,4.78561,1988.36,19.838,0.038601,0.006601,0.006601
24,288.266,1.78358,1.2427,1.01265,0,0,0,0,4.30426,1658.8,15.8965,0.0358731,0.00687312,0.00687312
25,300.747,1.7315,1.2795,1.03835,0,0,0,0,4.23536,1662.25,11.0688,0.0331428,0.00714277,0.00714277
26,313.604,1.74547,1.28967,1.00067,0,0,0,0,4.0802,2019.66,9.98274,0.0304099,0.00740987,0.00740987
27,326.571,1.68073,1.2991,1.00352,0,0,0,0,4.2146,1895.84,10.2508,0.0276743,0.00767431,0.00767431
28,339.847,1.68313,1.2611,1.01695,0,0,0,0,4.58609,1990.78,11.016,0.024936,0.007936,0.007936
29,352.93,1.6149,1.20478,0.97936,0,0,0,0,4.58609,1990.78,11.016,0.0221948,0.00819485,0.00819485
30,365.251,1.58919,1.23484,1.02084,0,0,0,0,4.27148,905.109,5.69217,0.0194508,0.00845076,0.00845076
31,377.567,1.61144,1.17857,0.99727,0,0,0,0,3.73536,758.86,3.43011,0.0167036,0.00870364,0.00870364
32,390.905,1.67464,1.18535,0.99688,0,0,0,0,3.17182,325.979,2.60262,0.0139534,0.00895341,0.00895341
33,403.586,1.61518,1.24011,0.99881,0,0,0,0,3.17182,325.979,2.60262,0.0112,0.00919996,0.00919996
34,415.865,1.70123,1.21818,1.01451,0.0003,0.05556,0.00017,6e-05,2.66143,84.6088,2.06447,0.00934973,0.00934973,0.00934973
35,428.117,1.70343,1.20186,1.02373,0.00073,0.13889,0.00067,0.00022,2.63722,113.557,1.99152,0.00931067,0.00931067,0.00931067
