epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8101,1.5083,3.12055,1.23468,0.00193,0.38889,0.11678,0.02814,2.08767,3.79224,1.74185,0.0964,0.0004,0.0004
2,41.335,1.39277,2.275,1.21097,0.00295,0.52778,0.02789,0.00487,2.3548,3.97671,2.1216,0.0918999,0.000899945,0.000899945
3,60.7295,1.46545,1.97044,1.24899,0.0026,0.44444,0.04015,0.00823,2.54963,3.77,3.26414,0.0873997,0.00139966,0.00139966
4,80.6381,1.54308,1.68953,1.23037,0.33541,0.28788,0.26791,0.15629,1.83392,3.72994,1.95904,0.082899,0.00189896,0.00189896
5,100.841,1.47924,1.6283,1.26612,0.23962,0.25505,0.16096,0.06213,2.0794,3.88032,1.77676,0.0783977,0.00239766,0.00239766
6,121.632,1.44643,1.52833,1.20812,0.33333,0.0101,0.17172,0.05947,2.86126,4.18131,4.31013,0.0738956,0.00289557,0.00289557
7,142.277,1.4165,1.458,1.185,0.00083,0.08333,0.0006,0.00016,2.97376,5.08793,9.99271,0.0693925,0.00339253,0.00339253
8,162.853,1.46336,1.43936,1.20589,0.33361,0.03283,0.16945,0.01697,3.29753,5.04584,6.63745,0.0648883,0.00388834,0.00388834
9,183.231,1.48203,1.46158,1.25176,0.00623,0.13838,0.0184,0.00246,4.39254,20.2239,62.378,0.0603828,0.00438283,0.00438283
10,204.179,1.5205,1.46463,1.23999,0,0,0,0,4.75557,2117.74,350.233,0.0558758,0.0048758,0.0048758
11,226.655,1.46789,1.46184,1.21103,0.00118,0.06667,0.00088,9e-05,4.96317,35280.3,355.951,0.0513671,0.00536709,0.00536709
12,250.306,1.46218,1.402,1.21371,0.00022,0.02778,0.00011,4e-05,4.88951,13443,163.582,0.0468565,0.00585651,0.00585651
13,272.14,1.43567,1.38154,1.20457,0.00095,0.18889,0.00074,0.00017,4.60069,7527.27,98.6228,0.0423439,0.00634389,0.00634389
14,292.721,1.46216,1.32193,1.18315,0.33485,0.26667,0.002,0.00029,4.13071,1090.26,52.2066,0.037829,0.00682904,0.00682904
15,313.172,1.55063,1.41163,1.29292,0.00261,0.14343,0.00168,0.00019,4.19188,893.06,75.1489,0.0333118,0.00731178,0.00731178
16,332.651,1.46954,1.38558,1.20597,0.00718,0.13384,0.00263,0.00086,3.64475,152.599,26.7597,0.028792,0.00779195,0.00779195
17,352.985,1.46114,1.36188,1.24653,0.007,0.09596,0.00394,0.00148,3.80477,6334.06,41.7559,0.0242694,0.00826937,0.00826937
18,372.758,1.40265,1.33733,1.22313,0.00634,0.10101,0.00375,0.00163,3.65249,3600.77,16.5882,0.0197439,0.00874386,0.00874386
19,392.199,1.44446,1.39222,1.26008,0.01291,0.22475,0.01149,0.005,3.04874,1188.51,7.41694,0.0152152,0.00921525,0.00921525
20,411.723,1.41431,1.29551,1.1921,0.0252,0.15909,0.01667,0.00873,2.31784,20.1719,3.71805,0.0106834,0.00968336,0.00968336
21,431.184,1.41054,1.3055,1.15679,0.0667,0.10606,0.03913,0.01825,2.27235,20.8736,4.12179,0.00975773,0.00975773,0.00975773
22,451.858,1.39538,1.25566,1.19667,0.20984,0.14646,0.1472,0.07846,2.09218,18.6677,4.308,0.00973312,0.00973312,0.00973312
23,472.449,1.42225,1.32939,1.17982,0.20319,0.18434,0.15651,0.08009,1.95752,8.70841,2.31423,0.00970736,0.00970736,0.00970736
24,491.732,1.36234,1.24318,1.20415,0.21791,0.21465,0.14099,0.06069,2.00912,4.17505,1.94291,0.00968045,0.00968045,0.00968045
25,513.014,1.40215,1.24155,1.14485,0.54415,0.18434,0.12789,0.05936,1.90393,4.10305,1.63752,0.00965239,0.00965239,0.00965239
26,532.626,1.45593,1.28602,1.18443,0.69403,0.20984,0.22861,0.12309,1.79314,2.29307,1.56893,0.0096232,0.0096232,0.0096232
27,551.559,1.35908,1.21944,1.18387,0.73618,0.2298,0.21358,0.12475,1.96463,2.28533,1.75223,0.00959289,0.00959289,0.00959289
28,571.402,1.32779,1.22029,1.18428,0.51958,0.14141,0.15602,0.09255,1.74821,2.48977,1.66021,0.00956145,0.00956145,0.00956145
29,591.102,1.31141,1.15211,1.16635,0.26623,0.42475,0.25571,0.14647,1.64542,2.29555,1.55149,0.00952889,0.00952889,0.00952889
30,611.135,1.2958,1.15882,1.16922,0.31378,0.3404,0.28053,0.12542,1.69513,2.10993,1.60237,0.00949524,0.00949524,0.00949524
31,633.77,1.308,1.18752,1.18262,0.36801,0.36518,0.27033,0.16001,1.70488,2.04706,1.52601,0.00946048,0.00946048,0.00946048
32,653.539,1.28438,1.1563,1.17806,0.72204,0.34646,0.29288,0.11138,1.79263,2.4332,1.73563,0.00942464,0.00942464,0.00942464
33,672.697,1.34802,1.21694,1.15452,0.44546,0.24444,0.28304,0.14624,1.73551,2.51498,1.59253,0.00938772,0.00938772,0.00938772
34,692.094,1.31824,1.1938,1.15736,0.65975,0.17689,0.21476,0.11865,1.69933,2.59665,1.44019,0.00934973,0.00934973,0.00934973
35,711.284,1.3454,1.13495,1.1087,0.55774,0.34235,0.1741,0.07793,1.89931,2.90822,1.68209,0.00931067,0.00931067,0.00931067
36,730.305,1.24868,1.17723,1.1252,0.19734,0.18788,0.13869,0.0801,1.75398,2.4669,1.51144,0.00927057,0.00927057,0.00927057
37,749.559,1.2671,1.13714,1.13939,0.62206,0.26465,0.1666,0.08229,1.79156,2.55506,1.55383,0.00922942,0.00922942,0.00922942
38,768.71,1.24749,1.14605,1.13324,0.34491,0.28232,0.19757,0.10423,1.8295,2.33693,1.46218,0.00918725,0.00918725,0.00918725
39,787.956,1.27239,1.1146,1.12317,0.49577,0.16803,0.14123,0.07688,1.68103,2.54342,1.47077,0.00914405,0.00914405,0.00914405
40,807.431,1.26625,1.13963,1.10669,0.50688,0.24848,0.11491,0.05445,1.50813,2.77518,1.30297,0.00909984,0.00909984,0.00909984
41,827.055,1.26481,1.02378,1.11894,0.76509,0.16667,0.10877,0.05016,1.63285,3.37825,1.29294,0.00905463,0.00905463,0.00905463
42,847.225,1.27985,1.0592,1.09715,0.16521,0.24432,0.1295,0.05689,1.58502,4.0468,1.23468,0.00900844,0.00900844,0.00900844
43,866.132,1.22232,1.06104,1.07152,0.16623,0.24495,0.15324,0.08025,1.4978,4.20961,1.20902,0.00896127,0.00896127,0.00896127
44,884.98,1.20406,1.02706,1.08912,0.52475,0.58923,0.52839,0.31485,1.33346,2.32063,1.17081,0.00891313,0.00891313,0.00891313
45,903.772,1.19321,1.03348,1.11181,0.59039,0.71703,0.69644,0.43143,1.35681,1.78598,1.19578,0.00886404,0.00886404,0.00886404
46,922.532,1.20774,1.10868,1.0788,0.6135,0.65657,0.56072,0.35363,1.38643,1.60741,1.24181,0.00881401,0.00881401,0.00881401
47,941.398,1.20943,1.02184,1.10584,0.65327,0.69762,0.68305,0.43664,1.33714,1.40165,1.19752,0.00876305,0.00876305,0.00876305
48,960.401,1.15405,0.99788,1.05746,0.68777,0.65001,0.59582,0.38276,1.31436,1.47821,1.15472,0.00871117,0.00871117,0.00871117
49,980.877,1.23946,1.0749,1.09191,0.73874,0.63128,0.67886,0.42206,1.38675,1.44392,1.18922,0.00865839,0.00865839,0.00865839
50,1000.53,1.21622,1.09859,1.08085,0.62991,0.66356,0.57133,0.35477,1.40125,1.55303,1.214,0.00860473,0.00860473,0.00860473
51,1019.83,1.18153,0.99096,1.1039,0.6012,0.55369,0.59837,0.36692,1.41205,1.99544,1.21183,0.00855018,0.00855018,0.00855018
52,1038.83,1.20782,1.01724,1.09211,0.44882,0.42699,0.42127,0.25995,1.49429,1.83638,1.24153,0.00849477,0.00849477,0.00849477
53,1057.89,1.18081,0.98874,1.12502,0.50811,0.3798,0.41676,0.27479,1.35242,1.64611,1.16904,0.00843851,0.00843851,0.00843851
54,1077.28,1.16574,1.00662,1.08868,0.53788,0.56199,0.54584,0.35538,1.37864,1.57708,1.162,0.00838141,0.00838141,0.00838141
55,1096.61,1.191,0.9951,1.07959,0.61316,0.57685,0.59964,0.41233,1.3817,1.47511,1.17311,0.00832349,0.00832349,0.00832349
56,1115.71,1.17678,0.99347,1.1043,0.53446,0.45909,0.49541,0.29511,1.39034,1.76786,1.18914,0.00826477,0.00826477,0.00826477
57,1134.6,1.14598,0.99622,1.07663,0.24482,0.57626,0.2882,0.16618,1.41561,2.28412,1.18259,0.00820525,0.00820525,0.00820525
58,1153.52,1.15705,0.946,1.06322,0.24754,0.44369,0.25986,0.13893,1.42375,2.43499,1.19676,0.00814495,0.00814495,0.00814495
59,1172.45,1.13685,0.90276,1.06099,0.29821,0.3899,0.24415,0.11263,1.54739,2.52128,1.19667,0.00808389,0.00808389,0.00808389
60,1191.33,1.14111,0.94486,1.06847,0.40102,0.60168,0.39421,0.20596,1.39173,2.02635,1.15668,0.00802208,0.00802208,0.00802208
61,1210.16,1.14959,0.96715,1.07623,0.46,0.63535,0.51942,0.31492,1.32314,1.9118,1.15297,0.00795954,0.00795954,0.00795954
62,1229.15,1.15257,0.89373,1.037,0.65066,0.54444,0.66276,0.46317,1.3221,1.78224,1.15843,0.00789628,0.00789628,0.00789628
63,1248.16,1.10063,0.90022,1.0621,0.63828,0.62525,0.63524,0.45577,1.40044,1.86279,1.16815,0.00783231,0.00783231,0.00783231
64,1267.29,1.15765,0.94014,1.04669,0.63503,0.58401,0.53481,0.34632,1.44804,1.70513,1.25076,0.00776766,0.00776766,0.00776766
65,1286.2,1.09967,0.91216,1.04955,0.69557,0.68345,0.58815,0.34186,1.37707,1.52005,1.2628,0.00770234,0.00770234,0.00770234
66,1305.51,1.13881,0.94679,1.02328,0.70944,0.62325,0.55909,0.30801,1.38599,1.66945,1.29182,0.00763637,0.00763637,0.00763637
67,1324.41,1.0586,0.93918,1.05833,0.71724,0.57828,0.4814,0.30005,1.44664,2.01091,1.3246,0.00756976,0.00756976,0.00756976
68,1343.32,1.1813,0.97067,1.06581,0.64668,0.54019,0.65463,0.4221,1.32921,1.43031,1.12904,0.00750252,0.00750252,0.00750252
69,1363.49,1.13727,0.90567,1.06336,0.64145,0.59972,0.60964,0.38193,1.28165,1.38938,1.11668,0.00743468,0.00743468,0.00743468
70,1382.55,1.10692,0.88636,1.04497,0.67318,0.61515,0.59051,0.38682,1.27775,1.2544,1.15055,0.00736625,0.00736625,0.00736625
71,1401.63,1.20081,0.96028,1.06019,0.64902,0.67321,0.62933,0.38473,1.30611,1.24303,1.13819,0.00729725,0.00729725,0.00729725
72,1420.9,1.15303,0.9357,1.06059,0.46569,0.7399,0.61865,0.36674,1.44291,1.34938,1.16626,0.0072277,0.0072277,0.0072277
73,1442.77,1.17545,0.89537,1.02073,0.36647,0.67134,0.49026,0.27236,1.42704,1.57481,1.18406,0.00715761,0.00715761,0.00715761
74,1463.13,1.07881,0.90588,1.07415,0.56592,0.52482,0.48037,0.29357,1.36492,1.62328,1.15517,0.007087,0.007087,0.007087
75,1482.53,1.25012,0.92525,1.08231,0.38247,0.64299,0.44239,0.29228,1.33185,1.61256,1.13317,0.00701588,0.00701588,0.00701588
76,1501.58,1.15459,0.89123,1.05472,0.6236,0.52323,0.55015,0.35514,1.37662,1.35189,1.151,0.00694428,0.00694428,0.00694428
77,1520.57,1.15502,0.93467,1.06642,0.54202,0.63788,0.53223,0.30631,1.41724,1.3679,1.15315,0.00687222,0.00687222,0.00687222
78,1539.6,1.19095,0.92347,1.08726,0.44241,0.66795,0.46408,0.28403,1.43635,1.4696,1.1572,0.0067997,0.0067997,0.0067997
79,1558.67,1.11629,0.93991,1.05135,0.63621,0.67204,0.57321,0.40077,1.29565,1.25581,1.10904,0.00672675,0.00672675,0.00672675
80,1577.77,1.09132,0.93629,1.06627,0.77024,0.77778,0.78303,0.53689,1.22723,0.99386,1.10305,0.00665339,0.00665339,0.00665339
81,1597.15,1.10755,0.87809,1.04286,0.61482,0.79293,0.72884,0.51963,1.20918,1.0986,1.08656,0.00657963,0.00657963,0.00657963
82,1616.57,1.06846,0.82801,1.03714,0.53843,0.6571,0.48567,0.29508,1.30399,1.39055,1.09439,0.0065055,0.0065055,0.0065055
83,1635.49,1.09022,0.84477,1.01959,0.6589,0.53838,0.57517,0.39622,1.29416,1.17383,1.08514,0.00643101,0.00643101,0.00643101
84,1654.58,1.0775,0.82356,1.0447,0.60039,0.8132,0.66178,0.47303,1.24654,1.06629,1.05671,0.00635617,0.00635617,0.00635617
85,1674.09,1.0603,0.86776,1.01655,0.67234,0.70606,0.66632,0.47633,1.25278,1.05812,1.07711,0.00628101,0.00628101,0.00628101
86,1694.45,1.06601,0.88574,1.02919,0.71783,0.54379,0.65073,0.4654,1.27042,1.1764,1.12748,0.00620555,0.00620555,0.00620555
87,1714.3,1.07661,0.86592,1.01208,0.77064,0.63955,0.72088,0.47235,1.23302,1.11501,1.1221,0.00612981,0.00612981,0.00612981
88,1733.65,1.09745,0.85812,1.0632,0.86701,0.63891,0.79033,0.54293,1.19612,1.04401,1.07888,0.0060538,0.0060538,0.0060538
89,1752.54,1.10589,0.84953,1.03478,0.68734,0.73889,0.79818,0.57958,1.18205,0.97456,1.08443,0.00597754,0.00597754,0.00597754
90,1771.4,1.11347,0.87591,1.04626,0.88986,0.62585,0.79488,0.57284,1.23464,0.94312,1.10194,0.00590105,0.00590105,0.00590105
91,1791.41,1.10942,0.82698,1.04527,0.7312,0.71801,0.79182,0.57764,1.24507,1.04472,1.10359,0.00582435,0.00582435,0.00582435
92,1810.44,1.15729,0.87339,1.06305,0.86568,0.68483,0.81534,0.59326,1.19088,0.95656,1.08459,0.00574746,0.00574746,0.00574746
93,1829.79,1.04084,0.80331,1.00394,0.8537,0.70482,0.80292,0.58888,1.21559,0.96792,1.09806,0.0056704,0.0056704,0.0056704
94,1848.92,1.04113,0.83878,1.01091,0.88155,0.69343,0.77564,0.55602,1.25422,1.00935,1.0962,0.00559318,0.00559318,0.00559318
95,1868.23,1.0751,0.83697,1.03198,0.77606,0.71689,0.70507,0.47102,1.25638,1.18658,1.09492,0.00551584,0.00551584,0.00551584
96,1887.56,1.07069,0.81261,1.01552,0.54128,0.70421,0.50384,0.33493,1.20583,1.23635,1.07256,0.00543837,0.00543837,0.00543837
97,1907.28,1.08004,0.81561,1.03288,0.8662,0.74393,0.78077,0.56148,1.19286,0.95816,1.08259,0.00536081,0.00536081,0.00536081
98,1926.74,0.9895,0.79967,0.98987,0.88582,0.69584,0.79688,0.57988,1.1945,0.98197,1.09403,0.00528318,0.00528318,0.00528318
99,1946.76,0.9941,0.74304,0.98662,0.89174,0.70495,0.82209,0.58996,1.20732,0.94728,1.08048,0.00520548,0.00520548,0.00520548
100,1966.04,1.06277,0.77959,1.02385,0.75418,0.80051,0.79166,0.5736,1.22746,0.99772,1.08931,0.00512775,0.00512775,0.00512775
101,1984.61,1.04881,0.80652,1.04416,0.87799,0.73448,0.83591,0.60578,1.19944,1.10211,1.09615,0.00505,0.00505,0.00505
102,2004.42,1.06841,0.79863,1.03033,0.87388,0.7399,0.83382,0.6014,1.17872,1.09311,1.08587,0.00497225,0.00497225,0.00497225
103,2024.44,1.0055,0.76947,1.02249,0.9059,0.73485,0.84698,0.60369,1.17614,0.99868,1.07133,0.00489452,0.00489452,0.00489452
104,2044.37,1.04542,0.75702,1.02856,0.80931,0.679,0.77989,0.5694,1.17375,1.18449,1.07816,0.00481682,0.00481682,0.00481682
105,2064.15,1.05445,0.80241,1.02534,0.72612,0.69192,0.77894,0.54952,1.20553,1.37859,1.08905,0.00473919,0.00473919,0.00473919
106,2083.73,1.03268,0.82472,1.01339,0.89081,0.58775,0.78985,0.58004,1.22695,1.32595,1.08152,0.00466163,0.00466163,0.00466163
107,2102.69,1.02832,0.75743,0.98733,0.86852,0.69401,0.79265,0.58588,1.19702,1.17567,1.05685,0.00458416,0.00458416,0.00458416
108,2123.01,1.00867,0.74709,1.01522,0.70134,0.70436,0.7536,0.51385,1.20065,1.30318,1.04522,0.00450682,0.00450682,0.00450682
109,2143.09,0.99671,0.75229,1.00105,0.65874,0.66919,0.71466,0.48989,1.23012,1.47854,1.05686,0.0044296,0.0044296,0.0044296
110,2163.03,0.9879,0.74835,0.98531,0.61416,0.69949,0.65644,0.42344,1.25379,1.63519,1.07536,0.00435254,0.00435254,0.00435254
111,2182.74,1.0278,0.76229,1.01296,0.52665,0.64798,0.56343,0.40024,1.22084,1.61573,1.08373,0.00427565,0.00427565,0.00427565
112,2202.5,1.04573,0.78059,1.00118,0.56021,0.69358,0.64252,0.4573,1.16582,1.35303,1.04599,0.00419895,0.00419895,0.00419895
113,2221.94,1.01807,0.74924,0.97778,0.63422,0.77809,0.7075,0.50118,1.18195,1.13649,1.04685,0.00412246,0.00412246,0.00412246
114,2241.69,0.97988,0.76232,0.98448,0.53681,0.8163,0.69539,0.48339,1.21054,1.13097,1.05632,0.0040462,0.0040462,0.0040462
115,2261.49,1.02146,0.7895,0.97999,0.78724,0.58777,0.71992,0.50886,1.21587,1.10236,1.05898,0.00397019,0.00397019,0.00397019
116,2281.04,0.91272,0.7354,0.9854,0.60134,0.73715,0.73217,0.51871,1.18705,1.09821,1.06329,0.00389445,0.00389445,0.00389445
117,2301.4,0.96424,0.73541,1.00521,0.58588,0.79106,0.72846,0.51431,1.19712,1.1233,1.07193,0.00381899,0.00381899,0.00381899
118,2322.86,0.94653,0.71947,1.00254,0.6817,0.72754,0.73927,0.52253,1.20074,1.04429,1.0746,0.00374383,0.00374383,0.00374383
119,2342.75,0.92432,0.69258,0.96928,0.89899,0.67828,0.79087,0.5787,1.18881,1.0214,1.07069,0.00366899,0.00366899,0.00366899
120,2362.36,0.96181,0.73863,0.99181,0.73611,0.79378,0.78427,0.57767,1.17796,1.06205,1.04532,0.0035945,0.0035945,0.0035945
121,2381.79,0.98332,0.74032,0.98433,0.61348,0.78934,0.75087,0.55973,1.1798,1.1573,1.04265,0.00352037,0.00352037,0.00352037
122,2402.01,0.97794,0.73523,0.97292,0.65684,0.70623,0.72679,0.54258,1.16804,1.09646,1.03206,0.00344661,0.00344661,0.00344661
123,2422.03,0.96108,0.74344,1.00955,0.68692,0.72018,0.75429,0.56876,1.17369,1.03615,1.03752,0.00337325,0.00337325,0.00337325
124,2441.93,0.95092,0.69452,0.98991,0.76387,0.75435,0.77761,0.55054,1.18254,0.96515,1.06819,0.0033003,0.0033003,0.0033003
125,2462.04,0.94392,0.74841,0.97751,0.83029,0.69288,0.7956,0.55944,1.20572,0.98395,1.09283,0.00322778,0.00322778,0.00322778
126,2482.81,0.94973,0.72697,0.97039,0.73665,0.79335,0.79806,0.55932,1.23367,0.97526,1.10738,0.00315572,0.00315572,0.00315572
127,2502.76,0.95554,0.74554,1.00743,0.87955,0.66565,0.78614,0.54776,1.27006,0.96565,1.11849,0.00308412,0.00308412,0.00308412
128,2523.28,0.99399,0.68845,0.98801,0.8031,0.68021,0.76461,0.53485,1.21461,0.97068,1.08099,0.003013,0.003013,0.003013
129,2543.95,0.96092,0.72354,0.98741,0.73701,0.79185,0.77113,0.55862,1.16556,0.97445,1.05653,0.00294239,0.00294239,0.00294239
130,2564.52,0.95228,0.67719,0.95378,0.77488,0.7702,0.76959,0.56449,1.14227,0.98031,1.04418,0.0028723,0.0028723,0.0028723
131,2584.45,0.90766,0.66595,0.97066,0.72235,0.75145,0.76638,0.56924,1.13897,1.01068,1.0382,0.00280275,0.00280275,0.00280275
132,2604.94,0.92079,0.68565,0.96153,0.66219,0.81566,0.78349,0.59311,1.15667,1.06412,1.03643,0.00273375,0.00273375,0.00273375
133,2625.19,0.90681,0.68265,0.96443,0.72191,0.76723,0.7967,0.60619,1.16908,0.97234,1.03521,0.00266532,0.00266532,0.00266532
134,2645.63,0.92056,0.69082,0.9794,0.74331,0.77943,0.80159,0.61728,1.17798,0.96022,1.03608,0.00259748,0.00259748,0.00259748
